ID,front,back,imageURL,tags
0,Acute intermittent porphyria,"AD, HMBS
acute attacks, abdominal pain
ALA testing of urine (looks like red wine)",,
0,alpha thalassemia,"HBA 16p
HB bart (all 4 alleles missing, hydrops fetalis, neonatal death, no tx)
HbH (3 alleles missing, macrocytic anemia, transfusions)
Alpha trait (mild)
screen populations at risk for mutations in cis
90% deletions 10% sequencing",,
0,beta thalassemia,"hbb 11p, AR
Severe (anemia and HSM)
Intermedia (milder, rarely transfusion)
Abnl peripheral blood smear, reduced RBCs
4 to 10 mutations most common",,
0,factor V leiden,"F5, AD 
Increased risk for DVT (2-3X increase RR pregnancy loss)
APC resistance
F5 G1691A common mutation
Affects APC cleave site so remains active",,
0,Hemophilia A,"F8, Xq28
Bleeding, different severity, liver disease
22-A gene inversion (45%) 1 gene inversion (3%), mutations the rest
Missense more common in mile",,
0,Hemophilia B,"F9, Xq27
hematomas, nose bleeds, excessive bruising
Prolonged PTT
F9 sequencing, has deletions and frameshift
Can give recombinant F9",,
0,HFE,"HFE, AR, 6p
Low penentrance
high iron absorption
C282Y/H63D
Worse in males",,
0,22q11 deletion sydnrome,"TBX1, AD, de novo deletions common
Heart disease, immune dysfunction, hypocalcemia, ID, palate
3-MB common deletion, 20kb also seen
kid pic with a carp mouth",,
0,Alagillle syndrome,"JAG1, NOTCH2, AD, de novo
Cardiac defects, butterfly vertebrae, DD, bile duct paucity
JAC1 seq, JAG1 FISH, NOTCH2 seq",,
0,Brugada syndrome,"SCN5A (AD)
Syncope, ventricular arrhythmia, sudden death in adulthood
sodium channel in heart",,
0,Hereditary Hemorrhagic Telangiectasia,"ACVRL1, ENG (AD)
hemorrhage, cerebral AVM, no capillary beds, blood in stool, telangectasias on mouth (looks like pimples)
Most mutations sequence followed by del/dup
Liver transplant",,
0,Holt-Oram syndrome,"TBX5, AD
Radial and ulnar bones, heart disease
thumb looks like its got a rubber band around it",,
0,Leopard syndrome,"PTPN11, RAF1 (AD)
Lentigines, Electrocardiogram abnl, Ocular hyperteloroism, Pulmonary stenosis, abnl genetalia, retard of growth, deafness
PTPN11 sequencing (80%)
little boy with hundreds of freckles and hearing aid",,
0,Noonan syndrome,"PTPN11, SOS1, KRAS, RAF1 (AD)
facial features, renal malformation, bleeding disorders
Sequencing in the above order",,
0,Williams Syndrome,"ELN, 7q11.23 AD
Overfriendly, anxiety, hypercalcemia, hypothyroid, FTT, renal, cardiac (artery narrowing)
FISH for ELN",,
0,BRCA1 and BRCA2,"AD 17q and 13q
ovarian, prostate, breast
estrogen negative 
185delAG (BRCA1) common in Jewish
6174delT (BRCA2) common in Jewish 
999del5(BRCA2) Icelandic men",,
0,Familial Adenomatous Polyposis,"APC, AD, 5q
100 to 1000 ademous polyps in childhood
jaw osteomas
Gardner syndrome (polyp, osteomas, soft tissue tumros)
Turcot sydnrome (polyp, medulloblastoma)
Seq analysis or protein truncation
TBFB pathway",,
0,Hereditary Nonpolyposis Colon Cancer,"MLH1, MSH2, MSH6 (AD)
Amsterdam or Bethesda criteria
MSI of tumor tissue followed by sequencing of suspected gene
colonoscopy followed by removal",,
0,Li-Fraumeni,"p53, CHEK2 (AD)
sarcoma, breast cancer, adrenocortical, Wilms' tumor",,
