ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,Why do most individuals (adults and children) develop cancer?,Cancer is most often due to a series of random somatic mutations over a person's lifetime,Cancer is most often due to inherited genetic risk,Cancer is most often the direct result of environmental mutagens,Cancer is most often due to personal risk factors like poor diet and obesity,,,,,"Cancer,"
2,Which of the following statements regarding breast cancer is FALSE?,An Ashkenazi Jewish woman newly diagnosed with breast cancer has the same risk to be a BRCA 1/2 mutation carrier as a newly diagnosed non-Ashkenazi Jewish woman (if both same age and negative family history),Up to 70 % of breast cancer is sporadic and not felt to be hereditary or part of a family cluster,A male with breast cancer at any age is a candidate for genetic counseling,BRCA1 mutation related breast cancers tend to have pathological features that are distinctive from BRCA2 or sporadic breast tumors,,,,,"Cancer,"
3,Which of the following statement(s) are true about variants of uncertain significance found when testing for mutations in BRCA1 and BRCA2?,Variants of unknown signficance are more commonly found in those of African ancestry,"If a variant of uncertain significance is observed along with a deleterious mutation in the same gene in the same individual, there is still no further evidence about whether or not the variant has significance",Variants of unknown significance are most commonly nonsense alterations,BRCA1/2 variants of uncertain significance are present in fewer than 1 % of individuals of European ancestry,,,,,"Cancer,"
4,Which of the following breast cancer biopsy findings is/are associated with a moderate or high risk for developing breast cancer?,Atypical hyperplasia,Hyperplasia,Duct ectasia,Sclerosing adenosis,,,,,"Cancer,"
5,An individual with Lynch syndrome who has a characteristic presentation of this condition would most likely have:,About 15 adenomatous colon polyps,About 100 hamartomatous colon polyps or more,About 100 adenomatous colon polyps or more,About 60 adenomatous colon polyps,About 15 hamartomatous colon polyps,,,,"Cancer,"
6,"When immunohistochemical (IHC) staining is performed on a colon tumor looking for clues about Lynch syndrome, loss of staining for which gene is most likely to be representative of somatic mutation?",MLH1,MSH2,MSH3,PMS2,MSH6 ,,,,"Cancer,"
7,"What is the common mechanism by which a Lynch syndrome gene may be somatically altered so that it is no longer functional, and therefore produces no protein and absence of staining on IHC analysis? ",Promotor methylation ,Large genomic rearrangement ,Missense mutation ,Nonsense mutation ,Gene duplication ,,,,"Cancer,"
8,Which statements about the Amsterdam criteria for Lynch syndrome or HNPCC is correct? ,"An individual with colon cancer from a family meeting Amsterdam criteria has his turnor studies, and it does not demonstrate MSI or loss of staining. He most likely has hereditary colon cancer 
syndrome","Over 90% of families who meet the strict Amsterdam criteria will 
have a detectable mutation found in one of the HNPCC genes","An individual with colon cancer from a family meeting the Amsterdam criteria has his tumor studied, and it does not demonstrate MSI or loss of staining. He most likely still haş Lynch syndrome","To fulfill the Amsterdam criteria, at least one relative must be diagnosed with colon cancer prior to the age of 40 ",,,,,"Cancer,"
9,PMS2 is a Lynch syndrome gene with the following phenotype: ,"Homozygous loss of PMS2 leads to a high risk for developing colon cancer at very early ages, as well as brain tumors and other malignancies","Heterozygote mutation carriers have a typical Lynch syndrome presentation, despite this being a rare genetic cause for Lynch syndrome","Heterozygote mutation carriers are at high risk for developing colon cancer at very early ages, as well as brain tumors and other malignancies",Homozygous loss of PMS2 is embryologically lethal,,,,,"Cancer,"
10,Peutz Jeghers Syndrome is caused by mutations in which gene(s)? ,STK11 ,,MSH2/ MLH1 ,BRAF ,PTEN ,PALB2 ,,,"Cancer,"
11,Which of the following statements is true about Juvenile Polyposis? ,Juvenile polyps are most often hamartomatous ,The diagnosis requires at least 20 polyps in the colon,The diagnosis requires at least 20 polyps in the small intestine ,"Juvenile polyps are by definition limited to those under age 
18 ",The diagnosis requires at least 100 polyps in the colon or small intestine ,,,,"Cancer,"
12,"Looking at a pedigree from a family with known MYH polyposis, what pattern would you most likely observe? ",Multiple affected individuals limited to a single generation and sibship ,An affected male to female ratio of 3:1 ,Vertical transmission with affected individuals in each generation ,"Vertical transmission with affected individuals in most generations, with occasional skipping due to incomplete penetrance",,,,,"Cancer,"
13,Which of the following statements is true about Turcot Syndrome? ,This condition can be caused by mutations in the genes for Lynch syndrome as well as the APC gene,"One can often observe characteristic freckling of the buccal mucosa starting in childhood, as well as brain tumors", The condition gives rise to hamartomatous polyps but not typically until adulthood,"The phenotype includes a high risk colon cancer and breast 
cancer",,,,,"Cancer,"
14,Which of the following characteristics of a BRCA1 breast tumor make it distinctive from BRCA2 associated breast tumors?  ,BRCA1 tumors are most often (but not exclusively) estrogen and progesterone receptor negative,BRCA1 tumors are most often (but not exclusively) estrogen and progesterone receptor positive,BRCA1 tumors more often are treated with hormonal therapy such as tamoxifen or aromatase inhibitors,BRCA1 tumors are more frequently invasive lobular carcinomas,,,,,"Cancer,"
15,"If you were providing genetic counseling to a family with a known founder mutation in BRCA1, 187delAG, what test would you order for other family members at risk? ","In an Ashkenazi Jewish family, one would order a test to look for the three common founder mutations in BRCA1 and BRCA2","In the setting of a known family mutation, one only needs to order site specific analysis for the known BRCA1 mutation","In an Ashkenazi Jewish family, one would always order comprehensive analysis, or assessment of the entire sequence of both BRCA1 and BRCA2. since mutations are more common in this ethnic group","In an Ashkenazi Jewish family, one would order a test to look for the other common founder mutations in BRCA1 in addition to 187delAG",,,,,"Cancer,"
16,Which of the following is true about breast cancer genes and Fanconi Anemia (FA)?  ,Compound heterozygotes of BRCA2 mutation will express the Fanconi Anemia phenotype,There is no relationship between breast cancer genes and Fanconi Anemia,Heterozygote mutation carriers for BRCA1 will occasionally express the phenotype for Fanconi Anemia ,Heterozygote mutation carriers for BRCA2 will occasionally express the phenotype of Fanconi Anemia ,,,,,"Cancer,"
17,Which is the most common cancer seen among women with Li-Fraumeni syndrome? ,Breast cancer,Colon cancer,Brain tumors,Leukemia,Adrenocortical carcinoma,,,,"Cancer,"
18,Which syndrome is highly suggested by the finding of a trichilemomma? ,Cowden syndrome ,Peutz-Jegher syndrome ,Von-Hippel Lindau ,Juvenile polyposis ,HNPCC or Lynch syndrome ,,,,"Cancer,"
19,Which of the following statements about Familial Adenomatous Polyposis (FAP) is TRUE? ,Individuals with this condition require upper endoscopic screening,Basal cell carcinoma risk is much increased in individuals with FAP,"Once the colon has been completely removed, the risk for developing cancer is essentially eliminated",Affected individuals will frequently develop hamartomatous polyps,,,,,"Cancer,"
20,Which of the following are the three BRCA1 and BRCA2 gene mutations associated with Ashkenazi Jewish ancestry?," 5385insC, 187delAG, 6174delT","1100delC, 5385insC, 953insA","187delAG, 834delT, 1100delC","953insA, 834delT, 2300insG",,,,,"Cancer,"
21,Individuals with a CDH1 gene mutation are more likely to have which of the    following type of breast cancer histology?, Lobular,Ductal,Papillary,Medullary,,,,,"Cancer,"
22,What MMR gene mutations are overrepresented in the endometrial cancer population?,MSH6,MLH1,MSH2 ,PMS2,,,,,"Cancer,"
23,What features are most predictive of an MMR mutation in a woman with endometrial cancer diagnosed under 50 years?   (BMI = body mass index),Positive family history and low BMI,Positive family history and high BMI,Negative family history and low BMI,Negative family history and high BMI,,,,,"Cancer,"
24,"You meet with a 37-year old woman in the breast center regarding her family history of cancer.  She reports that her paternal aunt was diagnosed with breast cancer at age 45.  She also reports that she has a personal history of a breast biopsy, which revealed atypical hyperplasia.  Which of the following models would give the MOST accurate estimation of her breast cancer risk?
",Tyrer-Cuzick, Gail,Claus,BRCAPRO,,,,,"Cancer,"
25,Which of the following pairs of breast cancer risk factors are closest in magnitude to each other? ,CHEK2 mutation and first degree relative with breast cancer,CHEK2 mutation and BRCA1 mutation,BRCA2 mutation and first degree relative with breast cancer,PALB2 mutation and BRCA2 mutation,,,,,"Cancer,"
26,Which of the following tumor types are most clearly associated with multiple endocrine neoplasia type 1 (MEN1)?,"Hyperparathyroidism, gastrinomas, pituitary adenomas","Osteosarcomas, prolactinomas, carcinoid tumors","Pancreatic islet cell tumors, papillary thyroid cancer, hyperparathyriodism","Pheochromocytoma, hyperparathyroidism, pituitary adenomas",,,,,"Cancer,"
