ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,This term is used to describe an excessively rapid heartbeat,Tachycardia,Sinus rhythm,Bradycardia,Long QT syndrome,,,,,"Cardiovascular,"
2,Which of the following is a study used to record the electrical activity of the heart using electrodes attached to the skin?,Electrocardiogram,Transthoracic echocardiogram,Transesophageal echocardiogram,Color Doppler study,,,,,"Cardiovascular,"
3,Which of the following is an electrical device that is placed to monitor for and correct cardiac arrhythmia by delivering a shock?, Automatic implantable cardioverter defibrillator,Holter monitor,Pacemaker,Cardiac stress test,,,,,"Cardiovascular,"
4,Which of the following is a non-invasive cardiac test?,Transthoracic echocardiogram,Transesophageal echocardiogram,Intracardiac pressure measurement, Heart catheterization,,,,,"Cardiovascular,"
5,Which of the following genetic principles is generally NOT applicable to cardiovascular genetic disorders?,Complete penetrance,Allelic heterogeneity,Limited family histories may be due to premature death,Phenotypic heterogeneity,,,,,"Cardiovascular,General,"
6,Mutations in SCN5A are associated with Long QT syndrome and Brugada syndrome. This is an example of,Phenotypic heterogeneity,Allelic heterogeneity,Locus heterogeneity, Reduced penetrance,,,,,"Cardiovascular,General,"
7,"Which of the following disorders is characterized by the muscle that makes up the left ventricle stretching and becoming thinner, eventually spreading to the right ventricle and atria?",Dilated cardiomyopathy,Restrictive cardiomyopathy,Hypertrophic cardiomyopathy,Arrhythmogenic Right Ventricular Dysplasia,,,,,"Cardiovascular,"
8,"Which of the following cardiomyopathies is generally a genetic disorder, unlikely to be caused by other factors?",Arrhythmogenic Right Ventricular Dysplasia,Restrictive cardiomyopathy,Hypertrophic cardiomyopathy,Dilated cardiomyopathy,,,,,"Cardiovascular,"
9,Which of the following is a potential limitation of multi-gene panels for cardiovascular genetic testing versus single gene testing?,Increased number of variants of uncertain significance,Decreased sensitivity, Increased sensitivity,Deceased number of variants of uncertain significance,,,,,"Cardiovascular,"
10,Mutations in which gene make up the majority of pulmonary arterial hypertension (PAH)?,BMPR2, ACVRL1,MYBPC3,ENG,,,,,"Cardiovascular,"
11,Which of the following is FALSE about coronary artery disease?,Most often the result of a single gene mutation,Most often multifactorial,"Risk factors include sedentary lifestyle, smoking, obesity, and high-fat diet",Genetic testing is generally not part of routine care at this time,,,,,"Cardiovascular,"
12,Mutations in the LDL receptor gene are associated with which of the following?,Familial hypercholesterolemia,Familial hypertension,Familial orthostaic hypotension,Hereditary hemorrhagic telangiectasia,,,,,"Cardiovascular,"
13,Which of the following is TRUE about genetic testing for familial hypercholesterolemia (FH)?,The benefit of genetic testing for HF is that screening can begin early for elevated cholesterol levels and risk factors can be modified before onset of disease,There is no genetic testing clinically available because FH is a multifactorial disease.,Genetic testing for FH has no clinical utility,FH is an autosomal recessive disorder,,,,,"Cardiovascular,"
14,Dilated cardiomyopathy is most often displays which inheritance pattern?,Autosomal dominant,Autosomal recessive,X-linked,Mitochondrial,,,,,"Cardiovascular,"
15,Which of the following is FALSE with regard to familial hypercholesterolemia?,Associated with no characteristic physical features,Characterized by significant elevations in total serum cholesterol and LDL cholesterol early in life,Increases the risk of coronary artery disease and myocardial infarction,Homozygotes have earlier age of onset and more severe disease,,,,,"Cardiovascular,"
16,What is the approximate penetrance of pulmonary arterial hypertension with a BMPR2 mutation?,0.2,Less than 10%,0.5,Greater than 90 %,,,,,"Cardiovascular,"
17,Which is FALSE regarding dilated cardiomyopathy (DCM)?,Mutations in fewer than 10 genes have been found to be associated with DCM,Mutations in TTN are the most common known genetic cause of DCM,May be associated with conduction system disease,"May be caused by mutations associated with sarcomeric proteins or proteins associated with the
contractile apparatus",,,,,"Cardiovascular,"
18,Which is FALSE with regard to hypertrophic cardiomyopathy?,Occurs exclusively in adults,May be asymptomatic,"May present with shortness of breath (particularly with exertion), chest pain, palpitations, and syncope",Can lead to sudden cardiac death,,,,,"Cardiovascular,"
19,Mutations in GLA result in,"Fabry disease, which can present with HCM"," Noonan syndrome, which can present with HCM","Danon disease, which can present with HCM","Wolff-Parkinson-White (WPW) syndrome, which can present with HCM",,,,,"Cardiovascular,"
20,"Generally what phenotype is most likely if an individual has more than one mutation that is associated with
hypertrophic cardiomyopathy?",Earlier age of onset of hypertrophic cardiomyopathy,Severe dysmorphic features, Embryonic lethal, No difference from hypertrophic cardiomyopathy with one mutation,,,,,"Cardiovascular,"
21,"Using the Schwartz criteria, a diagnosis of Long QT syndrome can be made based on","EKG findings, clinical history, and family history",Heart biopsy,Family history and genetic testing,"Cardiac MRI, exercise stress test, and clinical history",,,,,"Cardiovascular,"
22,Mutations in which genes each make up about 40% of HCM?, MYH7 and MYBPC3,TNNT2 and TNNI3,MYL2 and MYL3,ACTC1 and ACTN2,,,,,"Cardiovascular,"
23,Sudden unexpected nocturnal death syndrome (SUNDS) and _____________ are considered to be the same disorder., Brugada syndrome,Long QT syndrome,Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy (ARVD/C),Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),,,,,"Cardiovascular,"
24,Which of the following is generally NOT helpful in making a diagnosis of Brugada syndrome?,Myocardial biopsy,EKG,Review of family history, Review of clinical history,,,,,"Cardiovascular,"
25,Mutations in which gene make up 15-30% of Brugada syndrome (the greatest proportion of Brugada syndrome compared to any other known gene)?,SCN5A,CACNA1C,SCN1B,KCNE3,,,,,"Cardiovascular,"
26,Which is NOT a characteristic trigger of arrhythmia in the most common types of Long QT syndrome?,Fever,Exercise,Emotion,Rest/sleep,,,,,"Cardiovascular,"
27,The most common symptom of pulmonary arterial hypertension (PAH) is,Dyspnea,Syncope,Reynaud's phenomenon, Fatigue,,,,,"Cardiovascular,"
28,Which of the following is FALSE with regard to Jervell and Lange-Nielsen syndrome?,Characterized by LQTS and blindness,Characterized by LQTS and sensorineural deafness, Inheritance pattern is autosomal recessive,Caused by mutations in KLQT1 (KCNQ1) and KCNE1,,,,,"Cardiovascular,"
29,"Pulmonary arterial hypertension can occur along with which syndrome, particularly with mutations in ACVRL1?",Hereditary hemorrhagic telangiectasia,Timothy syndrome,Romano-Ward syndrome,Fabry disease,,,,,"Cardiovascular,"
30,Which disorder is characterized by cardiac electrical instability (QRS complexes with frequent and rapid changes in morphology) triggered by acute activation of the adrenergic nervous system?, Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),Dilated cardiomyopathy,Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy (ARVD/C), Hypertrophic cardiomyopathy,,,,,"Cardiovascular,"
31,Which of the following is TRUE about familial TTR amyloidosis?,The V122I mutations is common in the African-American population,Caused by mutations in the BMPR2 gene,Inheritance pattern is autosomal recessive,De novo mutations occur in less than 1% of cases,,,,,"Cardiovascular,"
32,Which of the following is TRUE about psychosocial issues in cardiovascular genetics?,"Psychosocial issues in cardiovascular genetics may include issues surrounding uncertainty, changes in
perception of health, and guilt or blame","The psychosocial issues in cardiovascular genetics are very unique to these diseases and have no overlap
with other universal counseling issues","There are no psychosocial issues in cardiovascular genetics because the conditions can be managed with
medication and/or implantable cardioverter defibrillators", The most significant psychosocial issue in cardiovascular genetics is denial,,,,,"Cardiovascular,Counseling,"
33,"Noonan syndrome is a condition that can be described as encompassing: short stature, lymphedema at birth, bleeding issues, delayed puberty, a short webbed neck, and a low hairline. What are the main heart features in this condition?", Pulmonary valve stenosis and hypertrophic cardiomyopathy,Dilated cardiomyopathy,Pulmonary valve stenosis and ARVC,Hypertrophic cardiomyopathy and noncompaction,,,Up to 20% of cases with have HCM and pulmonary valve stenosis is the most common congenital heart disease in Noonan’s. ,,"Cardiovascular,Neurogenetics,"
34,"Mutations in LMNA cause a genetic condition that is seen in both boys and girls with contractures, muscle wasting, and arrhythmias and/or congestive heart failure. What condition is this?",Emery-Dreifuss,Friedreich's Ataxia,Limb Girdle Muscular Dystrophy type 1,Charcot-Marie Tooth,,,,,"Cardiovascular,Neurogenetics,"
35,What is the inheritance pattern of Barth Syndrome?,X-linked,Autosomal recessive,Autosomal dominant,Mitochondrial,,,,,"Cardiovascular,"
36,What is the most common inheritance pattern in genetic causes of dilated cardiomyopathies?,Autosomal dominant,Autosomal recessive,X-linked,Mitochondrial,,,,,"Cardiovascular,"
37,"This metabolic condition can lead to cardiomyopathy, skeletal myopathy, and intellectual disability in males with mutations in the LAMP2 gene. ",Danon Disease,Lesch Nyan Disease,Naxos Disease,Glutaric acidemia type 1,,,,,"Cardiovascular,Metabolic,"
38,"A woman was recently diagnosed with Loeys Dietz syndrome due to aortic root dilation, a bifid uvula, and scoliosis. What is the de novo rate for this condition?",75 %,25 %,90 %,5 %,,,"25% of cases are inherited in an AD pattern. Most common mutations are TGFBR1, TGFBR2, and SMAD3",,"Cardiovascular,"
39,Holt Oram is the most common hand-heart genetic conditions caused by mutations in TBX5. Your 25 year old patient want to know the chance of having a child with this condition. What do you tell her?,"It is dominant, a 50% chance with each pregnancy the child will be affected","It is recessive, if her partner is also a carrier for the condition her children will have a 50% of being affected and a 50% chance of being a carrier","It is x-linked, a 50% chance to have an affected male and 50% chance of having a carrier female","It’s a somatic mutation, she could have up to a 50% chance of passing down the mutation",,,,,"Cardiovascular,"
