ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,This term is used to describe an excessively rapid heartbeat,Tachycardia,Sinus rhythm,Bradycardia,Long QT syndrome,,,,,"Genetics,Cardiovascular,"
2,Which of the following is a study used to record the electrical activity of the heart using electrodes attached to the skin?,Electrocardiogram,Transthoracic echocardiogram,Transesophageal echocardiogram,Color Doppler study,,,,,"Genetics,Cardiovascular,"
3,Which of the following is an electrical device that is placed to monitor for and correct cardiac arrhythmia by delivering a shock?, Automatic implantable cardioverter defibrillator,Holter monitor,Pacemaker,Cardiac stress test,,,,,"Genetics,Cardiovascular,"
4,Which of the following is a non-invasive cardiac test?,Transthoracic echocardiogram,Transesophageal echocardiogram,Intracardiac pressure measurement, Heart catheterization,,,,,"Genetics,Cardiovascular,"
5,Which of the following genetic principles is generally NOT applicable to cardiovascular genetic disorders?,Complete penetrance,Allelic heterogeneity,Limited family histories may be due to premature death,Phenotypic heterogeneity,,,,,"Genetics,Cardiovascular,"
6,Mutations in SCN5A are associated with Long QT syndrome and Brugada syndrome. This is an example of,Phenotypic heterogeneity,Allelic heterogeneity,Locus heterogeneity, Reduced penetrance,,,,,"Genetics,Cardiovascular,"
7,"Which of the following disorders is characterized by the muscle that makes up the left ventricle stretching and becoming thinner, eventually spreading to the right ventricle and atria?",Dilated cardiomyopathy,Restrictive cardiomyopathy,Hypertrophic cardiomyopathy,Arrhythmogenic Right Ventricular Dysplasia,,,,,"Genetics,Cardiovascular,"
8,"Which of the following cardiomyopathies is generally a genetic disorder, unlikely to be caused by other factors?",Arrhythmogenic Right Ventricular Dysplasia,Restrictive cardiomyopathy,Hypertrophic cardiomyopathy,Dilated cardiomyopathy,,,,,"Genetics,Cardiovascular,"
9,Which of the following is a potential limitation of multi-gene panels for cardiovascular genetic testing versus single gene testing?,Increased number of variants of uncertain significance,Decreased sensitivity, Increased sensitivity,Deceased number of variants of uncertain significance,,,,,"Genetics,Cardiovascular,"
10,Mutations in which gene make up the majority of pulmonary arterial hypertension (PAH)?,BMPR2, ACVRL1,MYBPC3,ENG,,,,,"Genetics,Cardiovascular,"
11,Which of the following is FALSE about coronary artery disease?,Most often the result of a single gene mutation,Most often multifactorial,"Risk factors include sedentary lifestyle, smoking, obesity, and high-fat diet",Genetic testing is generally not part of routine care at this time,,,,,"Genetics,Cardiovascular,"
12,Mutations in the LDL receptor gene are associated with which of the following?,Familial hypercholesterolemia,Familial hypertension,Familial orthostaic hypotension,Hereditary hemorrhagic telangiectasia,,,,,"Genetics,Cardiovascular,"
13,Which of the following is TRUE about genetic testing for familial hypercholesterolemia (FH)?,The benefit of genetic testing for HF is that screening can begin early for elevated cholesterol levels and risk factors can be modified before onset of disease,There is no genetic testing clinically available because FH is a multifactorial disease.,Genetic testing for FH has no clinical utility,FH is an autosomal recessive disorder,,,,,"Genetics,Cardiovascular,"
14,Dilated cardiomyopathy is most often displays which inheritance pattern?,Autosomal dominant,Autosomal recessive,X-linked,Mitochondrial,,,,,"Genetics,Cardiovascular,"
15,Which of the following is FALSE with regard to familial hypercholesterolemia?,Associated with no characteristic physical features,Characterized by significant elevations in total serum cholesterol and LDL cholesterol early in life,Increases the risk of coronary artery disease and myocardial infarction,Homozygotes have earlier age of onset and more severe disease,,,,,"Genetics,Cardiovascular,"
16,What is the approximate penetrance of pulmonary arterial hypertension with a BMPR2 mutation?,0.2,Less than 10%,0.5,Greater than 90 %,,,,,"Genetics,Cardiovascular,"
17,Which is FALSE regarding dilated cardiomyopathy (DCM)?,Mutations in fewer than 10 genes have been found to be associated with DCM,Mutations in TTN are the most common known genetic cause of DCM,May be associated with conduction system disease,"May be caused by mutations associated with sarcomeric proteins or proteins associated with the
contractile apparatus",,,,,"Genetics,Cardiovascular,"
