ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,Inborn errors of metabolism can be inherited in many ways. The MOST common mode of inheritance for this class of disorders is,Autosomal recessive,Autosomal dominant,X-linked,Mitochondrial (maternal),Sporadic,,,,"Metabolic,"
2,Uric acidemia is TYPICAL of,Lesch-Nyhan disease,Acute intermittent porphyria,X-linked adrenoleukodystrophy,Smith-Lemli-Opitz syndrome,Ornithine transcarbamylase (OTC) deficiency,,,,"Metabolic,"
3,One would not expect to see elevated levels of long chain fatty acids in any of these disorders EXCEPT,X-linked adrenoleukodystrophy,Acute intermittent porphyria,Lesch-Nyhan disease,Smith-Lemli-Opitz syndrome,Ornithine transcarbamylase (OTC) deficiency,,,,"Metabolic,"
4,Low cholesterol levels are TYPICALLY seen in patients with,Smith-Lemli-Opitz syndrome,Acute intermittent porphyria,X-linked adrenoleukodystrophy,Lesch-Nyhan disease,Ornithine transcarbamylase (OTC) deficiency,,,,"Metabolic,"
5,High ammonia levels are MOST consistent with,Ornithine transcarbamylase (OTC) deficiency,Acute intermittent porphyria,X-linked adrenoleukodystrophy,Smith-Lemli-Opitz syndrome,Lesch-Nyhan disease,,,,"Metabolic,"
6,A child has a known propionic acidemia. You would expect to see all of the following EXCEPT,Liver failure,Metabolic acidosis,Nausea and vomiting,Coma,High ammonia levels (hyperammonemia),,,,"Metabolic,"
7,The ketogenic diet (producing a chronic carabolic response in the cell) can be helpful in treating patients with intractable seizures. A ketogenic diet is POTENTIALLY harmful in individuals with,Fatty acid oxidation defects,Zellweger disease,Pyruvate dehydrogenase complex (PDHC) deficiency, Menkes disease,Krabbe disease,,,,"Metabolic,"
8,All of the following features are seen in both Marfan syndrome and homocystinuria EXCEPT,Joint laxity,Scoliosis,Arachnodactyly,Ectopia lentis,Tall stature,,,,"Metabolic,"
9,Cataracts are typically not seen in any of these disorders EXCEPT,Galactosemia, Hunter syndrome, Krabbe disease,Gaucher disease,Cystinuria,,,,"Metabolic,"
10,"A young child is diagnosed with Glycogen storage disease type I. In speaking with the parents, you tell them that the BEST therapy involves", Regular feedings,Bone marrow transplantation,Sodium benzoate and phenylacetate,Vitamin supplementation, Enzyme replacement therapy,,,,"Metabolic,"
11,"A young child is diagnosed with Biotinidase deficiency.  In speaking with the parents, you tell them that the BEST therapy involves",Vitamin supplementation,Bone marrow transplantation,Sodium benzoate and phenylacetate, Enzyme replacement therapy, Regular feedings,,,,"Metabolic,"
12, The BEST therapeutic option for an individual with Fabry disease is, Enzyme replacement therapy,Bone marrow transplantation,Sodium benzoate and phenylacetate,Vitamin supplementation, Regular feedings,,,,"Metabolic,"
13,Most metabolic disorders are not associated with a predisposition to sepsis or infection. Which ONE of the following diseases is associated with an increased risk of infection?,Galactosemia,Tyrosinemia,Medium chain acyl CoA dehydrogenase deficiency,Metachromatic leukodystrophy, Cystinuria,,,,"Metabolic,"
14,Mesurement of ammonia can be helpful as a diagnostic test in considering all of the following groups of metabolic diseases but one. Which ONE disease group is not associated with an abnormal ammonia level?,Lysosomal storage diseases,Urea cycle disorders,Mitochondrial disease,Fatty acid oxidation defects, Organic acidemias,,,,"Metabolic,"
15,"Trichorrhexis nodosa (""kinky hair"") is an abnormal hair finding seen in patients with Menkes disease.  Which ONE of the following diseases is also associated with this clinical feature? ",Argininosuccinic aciduria, Methylmalonic acidemia,Hereditary fructose intolerance,Niemann-Pick disease, Homocystinuria,,,,"Metabolic,"
16,Choose the most appropriate clinical feature associated with Acute Intermittent Porphyria,Episodic pain,Pulmonary embolism, Renal Fanconi syndrome,Cardiomyopathy,Aversion to certain foods,,,,"Metabolic,"
17,Choose the most appropriate clinical feature associated with Pompe disease,Cardiomyopathy,Episodic pain, Renal Fanconi syndrome,Pulmonary embolism,Aversion to certain foods,,,,"Metabolic,"
18,Which of the following is a toxic compound in PKU?,Phenylalanine,Leucine,Succinylacetone,Homocysteine,Glycine,,,,"Metabolic,"
19,Which of the following is a toxic compound in maple syrup urine disease?,Leucine,Succinylacetone,Phenylalanine,Homocysteine,Glycine,,,,"Metabolic,"
20,Which of the following diseases is NOT associated with x-linked inheritance?,Pompe disease,Ornithine transcarbamylase deficiency,Hunter syndrome,Fabry disease,Adrenoleukodystrophy,,,,"Metabolic,"
21,Which of the following diseases is associated with autosomal dominant inheritance?, Acute intermittent porphyria, Metachromatic leukodystrophy,Wilson disease,Creatine transporter defect,Cystinosis,,,,"Metabolic,"
22,Which of the following statements about Wilson disease and Menkes disease is false?,The inheritance pattern in both diseases is autosomal recessive, Both are defects of copper metabolism,Both may be associated with jaundice, Both may show neurologic symptoms,Both diseases are associated with a low ceruloplasmin,,,,"Metabolic,"
23,"All of the following are typical of urea cycle defects and organic acidemias, EXCEPT",Bone pain,Nausea and vomitting,Lethargy,Sudden death,Abnormality of blood gases,,,,"Metabolic,"
24,You are called to the NICU to see a patient with organic acidemia. Which of the following would you EXPECT to see?,Ketosis,Metabolic alkalosis,Hyperglycemia,Hypertriglyceridemia,Elevated uric acid,,,,"Metabolic,"
25,"PKU is an inborn error of metabolism that results in high levels of the amino acid phenylalanine. All of the following statements are true, EXCEPT",The pathogenesis of PKU is likely due to recurrent stroke-like episodes,PKU is cause by a defect in phenylalanine hydroxylase,Untreated PKU can cause severe mental retardation and psychiatric illness,Untreated PKU can cause severe mental retardation and psychiatric illness,PKU was the first metabolic disorder to be included in a newborn screening program,,,,"Metabolic,"
26,A 6 month old presents with macrocephaly. MRI reveals fluid accumulation anterior to the frontal and temporal lobes.  Which of the following organic acidemias is most likely?,Glutaric acidemia type I,Propionic acidemia,Isovaleric acidemia, Metylmalonic acidemia,3-methylcrotonyl CoA carboxylase deficiency,,,,"Metabolic,"
