ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,The C9orf72 hexanucleotide expansion causes which two diseases,Frontotemporal degeneration and amyotrophic lateral sclerosis,Parkinson disease and Alzheimer disease,Parkinson disease and frontotemporal degeneration,Amyotrophic lateral sclerosis and Alzheimers disease,,,,,"Neurogenetics,Dysmorphology,"
2,Which of the following APOE genotypes has the greatest risk of Alzheimer disease?,e4/e4,e2/e2,e2/e3,e2/e3,e3/e4,,,,"Neurogenetics,Dysmorphology,"
3,Which is the greatest risk factor for Alzheimer disease?,Increasing age,History of traumatic brain injury,APOE genotype,Diabetes,Female gender,,,,"Neurogenetics,Dysmorphology,"
4,An individual with a strong history of late-onset Alzheimer disease contacts you for information about APOE genetic testing. Which of the following is not a recommended course of action?,Recommend direct-to-consumer laboratories that provide APOE analysis,Provide genetic counseling following the Huntington disease predictive testing model,Obtain a detailed 3 generation family history,Inform the individual that there are no medical or lifestyle interventions to reduce risk of Alzheimers disease,,,,,"Neurogenetics,Dysmorphology,"
5,Which of the following illustrates the genetic principle of anticipation?,The onset age for Huntington disease decreases with each generation,The first symptoms of Huntington disease change with each generation,The first symptoms of Huntington disease remain constant between generations,The onset age for Huntington disease increases with each generation,The symptoms and onset age of Huntington disease vary with each generation,,,,"General,Neurogenetics,Dysmorphology,"
6,Approximately what percent of Alzheimer disease is caused by autosomal dominant gene mutations?,<5%,5-10%,20-25%,20-40%,None,,,,"Neurogenetics,Dysmorphology,"
7,Testing for the CAG trinucleotide repeat for Huntington's disease reveals the following result: 12 repeats; 38 repeats. This result is best classified as,"Mutation, Reduced Penetrance",Normal,Intermediate/Mutable Allele,"Mutation, Full Penetrance",,,,,"Neurogenetics,Dysmorphology,"
8,Which of the following may not be an advisable support person for an individual undergoing predictive genetic testing?,Sibling,Spouse,Friend,Social Worker,,,,,"General,Neurogenetics,Dysmorphology,"
9,"Your patient is a 35 year old woman seeking predictive genetic counseling and testing for early-onset AD. Her mother was recently diagnosed with AD at age 58, and there is a maternal history of early-onset dementia. She is unaware of any previous genetic testing in her family. Which of the following is the best course of action?",Counsel her on the importance of first pursuing genetic testing in a relative with Alzheimer's disease,Provide her with genetic counseling and testing following the Huntington disease predictive genetic testing model,Provide education on the limitations of APOE genotyping,Provide information on the genetic information nondiscrimination act (GINA),,,,,"Counseling,Neurogenetics,Dysmorphology,"
10,Which of the following is not an autosomal dominant cause of early-onset AD?,SNCA,PSEN1,APP,PSEN2,,,,,"Neurogenetics,Dysmorphology,"
11,Which of the following genes are the most likely cause of familial ALS?,SOD1 and C9orf72,GRN and MAPT,GRN and C9orf72,GRN and SOD1,MAPT and SOD1,,,,"Neurogenetics,Dysmorphology,"
12,Which of the following best describes the connection between GBA and Parkinson disease?,An autosomal dominant risk factor for Parkinson disease with low penetrance,An autosomal dominant cause of Parkinson disease with high penetrance,An autosomal recessive cause of Parkinson disease,A protective factor that reduces lifetime risk for Parkinson disease,,,,,"Neurogenetics,Dysmorphology,"
13,Which of the following best describe frontotemporal degeneration?,"A non-Alzheimer's dementia that may present with a broad range of symptoms, including language difficulties, changes in personality and/or movement disorders",A type of Alzheimer's disease that primarily affects language and personality,A type of Alzheimer's disease caused by mutations in the C9orf72 gene,A non-Alzheimer's dementia that is entirely due to autosomal dominant inheritance,,,,,"Neurogenetics,Dysmorphology,"
14,PSEN1 G206A is a founder mutation for which ancestry?,Caribbean Hispanic,Mediterranean,Eastern European Jewish,Native American,South American,,,,"Neurogenetics,Dysmorphology,"
15,The APOE gene is also a risk factor for,Cardiovascular disease,Connective tissue disorders,Brain cancer,Parkinson disease,Amyotrophic lateral sclerosis,,,,"Neurogenetics,Dysmorphology,"
16,Fragile X syndrome,is the most common known inherited cause of autism,occurs only in males,is caused by a de novo mutation in 10% of cases,results from mRNA toxicity secondary to FMR1 full mutations,,,,,"Neurogenetics,Dysmorphology,"
17,"Among children with autism spectrum disorder, the number who have fragile X as the underlying cause is closest to",1 in 20,1 in 200,"1 in 2,000","1 in 20,000","1 in 200,000",,,,"Neurogenetics,Dysmorphology,"
18,AGG interruptions in FMR1,stabilize the CGG repeat sequence and make it less likely to expand,predict the severity of intellectual disability in affected males,are only present in unaffected males and females with premutations,"increase in number with maternal transmission",are the primary cause of developmental symptoms in fragile X syndrome,,,,"Neurogenetics,Dysmorphology,"
19,Autism spectrum disorder,"is characterized by deficits in communication, repetitive behavior, and social interaction",affects approximately 1 in 250 children in the US,is diagnosed using magnetic resonance imaging (MRI),can have its onset at any time during a person's lifetime,is only rarely associated with intellectual disability,,,,"Neurogenetics,Dysmorphology,"
20,Fragile X-associated Tremor Ataxia Syndrome (FXTAS),does not occur in individuals with non-mosaic FMR1 full mutations,typically has an onset in early adulthood,exclusively affects males with FMR1 premutations,is caused by absence of fragile X mental retardation protein (FMRP),,,,,"Neurogenetics,Dysmorphology,"
