ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,What is the most common single chromosome abnormality among live borns?,Down Syndrome,Turner Syndrome,Trisomy 16,Triple X syndrome,,,,,"Prenatal,General,"
2,"About 3-4% of Down syndrome cases are caused by Robertsonian translocations. If a child’s karyotype is 46,XX,der(14;21)(q10;q10)+21, in what percentage of cases is this inherited from a balanced parent?",40%,5%,20%,100%,,,,,"Prenatal,"
3,What is the chance of having a child with Down Syndrome is a parent carries a 21;21 translocation?,100%,5%,20%,40%,,,,,"Prenatal,"
4,For reciprocal translocations: which statement is True?,Small distal exchange segments lead to small imbalances and increases the risks of having an abnormal liveborn,Large distal exchange segments lead to small imbalances and increases the risks of having an abnormal liveborn,Large distal exchange segments lead to large imbalances and increases the risks of having an abnormal liveborn,Partial trisomies are more lethal than partial monosomies,,,,,"Prenatal,General,"
5,Maternal UPD of chromosome 7 can be associated with what genetic syndrome?,Russell Silvers,Sotos syndrome,Williams Syndrome,WAGR,,,,,"Prenatal,"
6,"If a woman in clinic has 100 CGG repeats in FMR1, the chance of having an affected child with Fragile X syndrome is closest to:",100%,5%,20%,40%,,,,,"Prenatal,Neurogenetics,"
7,A 35 year old woman selects NIPT to screen for aneuploidy. Her results are returned as a positive for trisomy 18. Follow up diagnostic testing results are negative for this result and all other aneuploidies. Which of the following reasons is NOT a known cause of a false positive result in NIPT?,Triploidy,Vanishing twin,Low level maternal mosaicism,Confined placental mosaicism,,,,,"Prenatal,"
8,You are counseling a young woman with a known diagnosis of Myotonic Dystrophy Type 1 with a CTG repeat size in DMPK gene of 102. She wants to know how likely it is that her future child could have congenital myotonic dystrophy. You tell her,There is a 50% chance they’ll inherit the mutation and a 60% chance it will expand,There is a 50% chance they’ll inherit the mutation and a 5% chance it will expand,There is a 25% chance they’ll inherit the mutation and a 5% chance it will expand,There is a 25% chance they’ll inherit the mutation and a 60% chance it will expand,,,,,"Prenatal,"
9,Which of the following analytes is used to identify a pregnancy at risk for an open neural tube defect?,Alpha fetoprotein,Unconjugated estriol,Human Chorionic gonadotropin,Dimeric inhibin A,,,,,"Prenatal,"
10,Which of the following tests is recommended by the American College of OB/Gyn for all pregnant patients who present for care in the,Integrated first and second trimester screening,First trimester screening,Second trimester screening,Nuchal translucency measurement,,,,,"Prenatal,"
11,Which of the following statements correctly states the relationship in a screening test between detection rate and false positive rate?,"As detection rate increases, false positive rate increases","As detection rate increases, False positive rate decreases","As detection rate decreases, false positive rate increases",Detection rate and false positive rate are unrelated to each other,,,,,"Prenatal,General,"
12,Which of the following results would be expected in a second trimester pregnancy at highest risk for Down syndrome?,"High hCG, high inhibin A, low AFP, low estrio","High hGC, high inhibin A, high AFP, low estriol","High hGC, high inhibin A, high AFP, low estriol","Low hCG, low inhibin A, low AFP, low estriol","Low hCG, high inhibin A, high AFP, low estriol",,,,"Prenatal,"
13,Which of the following is not an aneuploidy screening test with both a first and second trimester blood draw?,Combined screening,Sequential Screening,Integrated screening,Contingent screening,,,,,"Prenatal,"
14,Which of the following is NOT one of the NHGRI criteria for a genetic screening program?,Screening is mandatory,High frequency of carriers in the screened population,Screening is cost effective,Consent is obtained,The disorder impairs health in affected individuals,,,,"Prenatal,General,"
15,Which category of carrier screening focuses on common disorders seen in multiple populations?,Population-based screening,Ethnicity-based screening,Pan-ethnic screening,Aneuploidy screening,,,,,"Prenatal,General,"
16,Which of the following is not a population with increased risk for thalassemia?,Japanese,African-American,Hispanic,Italian,Filipino,,,,"Prenatal,General,"
17,"Which of the following tests cannot differentiate between an individual with sickle cell trait and an individual with sickle cell disease, and therefore should not be used as a carrier screening test?",Hemoglobin solubility,Hemoglobin electrophoresis,Hemoglobin fractionation,Beta-globin gene sequencing,,,,,"Prenatal,"
18,What is the most common disorder in the Ashkenazi Jewish population for which screening is widely available?,Gaucher Disease,Tay-Sachs disease,Canavan Disease,Cystic fibrosis,Familial Dysautonomia,,,,Prenatal
