ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
1,A couple has a child with an autosomal recessive disorder. The husband dies and his widow marries his brother. What is the chance that they will have an affected child? Assume the carrier risk of the disorder is 1/25 in the general population.,1/8,1/16,1/6,1/4,1/2,,,,Quantitative
2,"A couple are both known carriers for an autosomal recessive disorder. If they have 4 children, the chance that at least one will be affected with the disorder is closest to which of the following:",70 %,0 %,30 %,40 %,100 %,,,,Quantitative
3,A woman with normal vision has a father and husband who are color blind (X-linked). What is the probability that her daughter will be color blind?,50 %,100 %,67 %,33 %,25 %,,,,Quantitative
4,"Given this pedigree, the chance that A is a carrier of Duchenne's muscular dystrophy (DMD), an X-linked recessive disorder, is closest to ",10 %,25 %,2.5 %,1 %,,,,https://drive.google.com/file/d/1axe0i9vuR-BXTcJY8Cn6mJ5BjbTROu5r/view?usp=sharing,Quantitative
5,"""A"" has just found out that she is pregnant. The chance that she would have an affected son is closest to",2.5 %,0.5 %,1.25 %,5 %,,,,https://drive.google.com/file/d/1axe0i9vuR-BXTcJY8Cn6mJ5BjbTROu5r/view?usp=sharing,Quantitative
6,"Matt's father, Kevin, had an autosomal dominant condition evident at birth. Penetrance of this condition is 75%. Matt is unaffected. What is the chance he would have an affected child?",1/10,1/5,3/14,3/7,,,,,Quantitative
7,"Barbara's mother, Anne, died of an adult onset, autosomal dominant disorder. At age 60, about 20% of people who have the mutation are showing symptoms. Barbara just turned 60 and is not yet symptomatic. What are the chances she has the mutation?",4/9,1/9,1/6,4/6,,,,,Quantitative
8,"About 1/3 of cases of Duchenne muscular dystrophy are due to new mutations. In this pedigree, II-3 is the only affected person. What is the chance that II-2 is a carrier?",1/17,1/24,1/9,1/2,,,,https://drive.google.com/file/d/1LExK4YYgjbmzBNTjs1DgkAA5S_KdnJfP/view?usp=sharing,Quantitative
9,Assume that all of the unshaded individuals in the above pedigree are apparently unaffected. Which of the following questions about this pedigree does NOT require Bayesian analysis to get the right answer,"What is the chance that II-1 is a carrier of a mutation causing hearing loss, given that his mother has an autosomal recessive hearing loss, but he has two unaffected sons?","What is the chance that II-2 is a carrier of DMD, an X-linked disorder, given that she has two unaffected sons?","What is the chance that II-2 has inherited the mutation that causes Huntington disease, an autosomal dominant, adult onset condition with variable age of onset?","What is the chance that II-1 has inherited the mutation that causes Alagille syndrome, an autosomal dominant condition with about 80% penetrance?",,,,https://i.imgur.com/kVxPxBz.png,Quantitative
10,Which of the following is the positive predictive value?,True positives/(true positives plus false positives),True positives/(true positives plus false negatives),True negatives/(true negatives plus false positives),True negatives/(true negatives plus false negatives),,,,,Quantitative
11,Which of the following is the sensitivity?,True positives/(true positives plus false negatives),True negatives/(true negatives plus false positives),True positives/(true positives plus false positives,True negatives/(true negatives plus false negatives),,,,,Quantitative
12,"You work for Company A designing a test for condition B. Your test has a sensitivity and specificity that are each 99%. The literature says that the overall frequency of the condition is 1/1000. You have just found out that in your population, the actual frequency is 1/100,000. What is the biggest consequence of this change?
","The positive predictive value goes down, harming the test's marketability to medical professionals","The positive predictive value goes up, improving the test's marketability to medical professionals","The negative predictive value goes up, improving the test's marketability to medical professionals","The negative predictive value goes down, harming the test's marketability to medical professionals",,,,,Quantitative
13,"Jessica had a brother who died of MPS1, a rare autosomal recessive condition. She recently had screening to determine if she was a carrier. Screening was done by enzyme analysis, and her value was 100 nm/mg. Available data has shown that heterozygous carriers will have values of 100 or less about 95% of the time. Non-carriers will have values of 100 or less about 10% of the time. What is the chance that Jessica is a carrier?",95 %,90 %,65 %,50 %,,,,,Quantitative
14,Neurofibromatosis type 1 is one of the most common autosomal dominant disorders. A woman with neurofirbomatosis type 1 has an unaffected partner. All of the following statements regarding their children is false EXCEPT?,The probability that their third child will be affected if their frist two children are affected is 1 in 2,The probability that each of their children will be affected is 1 in 4,The probability that their second child will be affected if their first child is affected is 1 in 4,If their first child is affected then their second child will not be affected,,,,,Quantitative
